['gradebooks', ('Electronic grade book', 4)]
['Bundesstraße 169', ('Bundesstraße 169', 8)]
['To Helen', ('Poems by Edgar Allan Poe', 51)]
['Khakassia in the Bala Türkvizyon Song Contest', ('Khakassia in the Bala Türkvizyon Song Contest', 2)]
['Nimăiești', ('Nimăiești', 1)]
['Capacitor-input filter', ('Capacitor-input filter', 3)]
['Wang_Jiao_(footballer)', ('Wang_Jiao_(footballer)', 1)]
['Tokkie Kasselman', ('Tokkie Kasselman', 1)]
['New York Broadband LLC', ('New York Broadband LLC', 3)]
['SKG Max-Eyth-See Stuttgart', ('SKG Max-Eyth-See Stuttgart', 1)]
['BMP-1U', ('BMP-1', 39)]
["''English''", ('English (surname)', 2)]
['Ornithine carbamoyltransferase', ('Ornithine carbamoyltransferase', 1)]
['Ellis Davidson, H.R.', ('H. R. Ellis Davidson', 15)]
['Santa Maria de Punilla', ('Santa Maria de Punilla', 2)]
['Thespis; or, The Gods Grown Old', ('Thespis (opera)', 39)]
['Brad Aitken', ('Brad Aitken', 16)]
['HMP Whitemoor', ('HMP Whitemoor', 1)]
['Transacetylase', ('Transacetylase', 1)]
['Muzika xhaz', ('Muzika xhaz', 1)]
['Manuel Álvares Cabral', ('Manuel Álvares Cabral', 1)]
['P. Lugüercio', ('Pablo Lugüercio', 14)]
['Buckeye Hills Recreational Area', ('Buckeye Hills Recreational Area', 1)]
['City auditor', ('Auditor', 1)]
["Disney's The Lion King 1½", ('The Lion King 1½ (video game)', 2)]
['David C. Pierson', ('David C. Pierson', 1)]
['Qumarleb County', ('Qumarleb County', 4)]
['Sasinara', ('Sasinara', 1)]
['Pekalongan Regency', ('Pekalongan Regency', 21)]
['Disneyland Resort Line', ('Disneyland Resort Line (MTR)', 6)]
["Scientology's trademarks", ('List of trademarks owned by the Church of Scientology and its affiliates', 7)]
['John Richard Arthur Conolly', ('John Richard Arthur Conolly', 2)]
['Sally Bochner', ('Sally Bochner', 6)]
['Sorrels Pickard', ('Sorrels Pickard', 1)]
['Florence Farmborough', ('Florence Farmborough', 7)]
['butlerage', ('butlerage', 2)]
['Mesoplodon grayi', ('Mesoplodon grayi', 5)]
['American Ballet Theatre dancers', ('American Ballet Theatre dancers', 1)]
['Luo Xj', ('Luo Xiaojuan', 66)]
['Holiday Inn Lakeview Heliport', ('Holiday Inn Lakeview Heliport', 1)]
['Richard Kambo', ('Richard Kambo', 9)]
['Nannobrachium nigrum', ('Nannobrachium nigrum', 1)]
['Fivehundredninety', ('Fivehundredninety', 1)]
['600 City of London Squadron', ('No. 600 Squadron RAF', 59)]
['Orikal', ('Orikal', 3)]
['Portal:Serials/Did you know/5', ('Portal:Serials/Did you know/5', 1)]
['enchytraeids', ('Enchytraeidae', 17)]
['Buttsū-ji', ('Buttsū-ji', 5)]
['Trinity AME Church', ('National Register of Historic Places listings in Salt Lake City, Utah', 29)]
['working holiday visas', ('Working holiday visa', 20)]
['Dallas Morning News', ('Dallas Morning News', 1379)]
['National Chamber of Exporters of Sri Lanka', ('National Chamber of Exporters of Sri Lanka', 3)]
['William Butos', ('William Butos', 1)]
['Konya İdmanyurdu', ('Konya İdman Yurdu', 6)]
['Bruno Kepi', ('Bruno Kepi', 3)]
['Linxiangian', ('Linxiangian', 1)]
['Josh, Master of GameCube', ('Josh, Master of GameCube', 1)]
['CHFA-2-FM', ('CHFA-2-FM', 1)]
['Chis Potter', ('Chris Potter (jazz saxophonist)', 6)]
['Granulina clandestinella', ('Granulina clandestinella', 1)]
['Ruane, Cunniff &amp; Goldfarb', ('Ruane, Cunniff &amp; Goldfarb', 5)]
['King Edward Pedestrian Crossing, Namibia', ('King Edward Pedestrian Crossing, Namibia', 1)]
['Sam Wetzel', ('Sam Wetzel', 3)]
['John Purcell Dickie', ('John Purcell Dickie', 24)]
['absolute neutrophil counts', ('absolute neutrophil count', 5)]
['Hans Holtedahl', ('Hans Holtedahl', 3)]
['Bill Day (cartoonist)', ('Bill Day (cartoonist)', 1)]
['Darryl Zanuck Mountain', ('Darryl Zanuck Mountain', 2)]
['Vicomtesse de Noailles', ('Marie-Laure de Noailles', 35)]
['Seselwa', ('Seselwa language', 2)]
['A Ballad of Sark', ('A Ballad of Sark', 1)]
['Arthur Hay', ('Arthur D. Hay', 13)]
['Desnethé—Missinippi—Churchill River by-election', ('Desnethé—Missinippi—Churchill River by-election, 2008', 2)]
['Megastomia pyramidata', ('Megastomia pyramidata', 2)]
["&quot;Ain't Nothing Like the Real Thing&quot;", ("Ain't Nothing Like the Real Thing", 117)]
['Norbert_Krief', ('Norbert_Krief', 1)]
['Thousands of marchers', ('Confederación General de Trabajadores del Perú', 6)]
['Whitewater Development Company', ('Whitewater Controversy', 2)]
['first browser war', ('first browser war', 5)]
['Jone language', ('Jone language', 1)]
['4-methyl-2-pentanone', ('4-methyl-2-pentanone', 1)]
['Nuggets, Volume 4', ('Nuggets, Volume 4', 1)]
['United States Christian songs', ('Christian Songs', 53)]
['Brahmadev_Anand_Paswan', ('Brahmadev_Anand_Paswan', 1)]
['Marteinstungukirkja', ('Marteinstungukirkja', 1)]
['Natalia Lesniak', ('Natalia Lesniak', 13)]
['Clifton Steere', ('Clifton Steere', 1)]
['Grob Viking TX1', ('Grob Viking', 4)]
['Sebastian Díaz', ('Sebastian Díaz', 2)]
['Giuseppe Marri', ('Giuseppe Marri', 1)]
['West tytherley', ('West tytherley', 1)]
['Endwar (concrete poet)', ('Endwar (concrete poet)', 2)]
['Zakharovo, Teykovsky District, Ivanovo Oblast', ('Zakharovo, Teykovsky District, Ivanovo Oblast', 1)]
['Avantmèdic Lleida', ('CE Lleida Bàsquet', 74)]
['Courts Security Act', ('Courts Security Act', 1)]
['Hampton Roads Whalers', ('Hampton Roads Whalers', 7)]
['National Assembly of Venezuela', ('National Assembly of Venezuela', 67)]
['lazybeds', ('lazy bed', 10)]
['Kaesong Folk Hotel', ('Kaesong Folk Hotel', 5)]
['Cowleymoor', ('Cowleymoor', 1)]
['choondal', ('choondal', 1)]
['many-sorted structures', ('structure (mathematical logic)', 6)]
['Teayo', ('Teayo, Veracruz', 2)]
['Kepler–Poinsot solids', ('Kepler–Poinsot solid', 4)]
['James Van Cleve', ('James Van Cleve', 7)]
['Secretion assays', ('Secretion assay', 8)]
['2014 FEI World Cup Dressage Final', ('2014 FEI World Cup Dressage Final', 1)]
['fall of one-party rule in 1989', ('Romanian Revolution of 1989', 246)]
['Fatumasin', ('Fatumasin', 2)]
['Pont-Ebbw', ('Pont-Ebbw', 1)]
['Paulraj, Arogyaswami', ('Arogyaswami Paulraj', 19)]
['Chaggaland', ('Chaggaland', 1)]
['The Johnston Land Grant Act', ('The Johnston Land Grant Act', 1)]
['Galium mexicanum', ('Galium mexicanum', 4)]
["Colombia's Foreign relations", ('Foreign relations of Colombia', 32)]
["MV ''Faust''", ('MV Faust', 1)]
['Rannanguhawa', ('Rannanguhawa', 2)]
['EU Navfor', ('EU Navfor', 4)]
['Ballymagee', ('Ballymagee', 2)]
['Pekka Sarmanto', ('Pekka Sarmanto', 9)]
['Mario Ferrari', ('Mario Ferrari', 2)]
['Tunkinsky ridge', ('Tunkinsky ridge', 1)]
['Charles Requa', ('Charles Requa', 1)]
['John H. Mcintosh', ('John H. Mcintosh', 1)]
['Prackenbach', ('Prackenbach', 4)]
['Gardiner Farm', ('Gardiner Farm', 35)]
['Add Features to Windows 8', ('Add Features to Windows 8', 1)]
['Martesia losserensis', ('Martesia losserensis', 1)]
['Touroultia lordi', ('Touroultia lordi', 1)]
['Cosmogia Incorporated', ('Planet Labs', 36)]
['D. subbadia', ('Drosophila subbadia', 1)]
['Jahanpanah', ('Jahanpanah', 18)]
['Jóhann Friðrik Haraldsson', ('Jóhann Friðrik Haraldsson', 1)]
['Ranganata', ('Ranganata', 1)]
['Masoj', ('Masoj', 1)]
['LoudSchool Productions', ('LoudSchool Productions', 1)]
['Lajran Rural District', ('Lajran Rural District', 25)]
['Latkowo, Pomeranian Voivodeship', ('Latkowo, Pomeranian Voivodeship', 1)]
['Alon Pinkas', ('Alon Pinkas', 6)]
['Orbicularis Oculi Muscle', ('Orbicularis_oculi_muscle', 3)]
['Gerry Fiennes', ('Gerry Fiennes', 13)]
['Federal enclave', ('Federal enclave', 6)]
['Rene Bernard', ('Rene Bernard', 1)]
['T. hypomethes', ('Typhlops hypomethes', 4)]
['Björn Margeirsson', ('Björn Margeirsson', 11)]
['the military dictatorship in Brazil', ('Brazilian military government', 40)]
['William Drake, Sr', ('William Drake (1723–1796)', 15)]
['Random graph', ('Random graph', 26)]
['Ikatan Peninsula', ('Ikatan Peninsula', 3)]
['Rajko Mitić Stadium', ('Rajko Mitić Stadium', 7)]
['AT&amp;T Research Labs', ('AT&amp;T Labs', 88)]
['Thermophotovoltaics', ('Thermophotovoltaics', 1)]
['Luzula nivea', ('Luzula nivea', 2)]
['Fujianocaris Taylor, Shen &amp;amp; Schram 1998', ('Fujianocaris Taylor, Shen &amp;amp; Schram 1998', 1)]
['Statue of Isambard Kingdom Brunel', ('Statue of Isambard Kingdom Brunel, Victoria Embankment', 2)]
['direction signs', ('Direction, position, or indication sign', 9)]
["''Let's Talk About Love''", ("Let's Talk About Love (Modern Talking album)", 1)]
['Toledo Macomber', ('Macomber High School (Toledo, Ohio)', 20)]
['Anna Mae He', ('Anna Mae He', 6)]
['Henry Ellis Warren', ('Henry Ellis Warren', 1)]
['Howrah Union', ('Howrah Union', 2)]
['Roman theater (Mainz)', ('Roman theater (Mainz)', 1)]
['Mumbai LTT – Bhagalpur SF Express', ('Mumbai LTT – Bhagalpur SF Express', 1)]
['John Moore (MP for Dover)', ('John Moore (MP for Dover)', 1)]
['South Yorkshire Amateur Football League', ('South Yorkshire Amateur Football League', 1)]
['Equestrian statue of Frederick William IV', ('Equestrian statue of Frederick William IV', 2)]
['Vaccaro (surname)', ('Vaccaro (surname)', 1)]
['cementitious materials', ('Concrete', 36)]
['Ryan Scott (footballer)', ('Ryan Scott (footballer)', 1)]
['Kakurenbo Battle Monster Tactics', ('Kakurenbo Battle Monster Tactics', 1)]
['Khalifa Muhammad Ali', ('Khalifa Muhammad Ali', 1)]
['KP Ukraine', ('KP (newspaper)', 4)]
['Rallapalli Anantha Krishna Sharma', ('Rallapalli Anantha Krishna Sharma', 8)]
['Boston Americans (AL)', ('Boston Red Sox', 165)]
['Richard Frederick Holloway', ('Richard Holloway', 51)]
['Los misterios de Laura', ('Los misterios de Laura', 16)]
['Brett Chalmers', ('Brett Chalmers', 25)]
['Sandthorpe', ('Sandthorpe', 1)]
['Myśl Niepodległa', ('Myśl Niepodległa', 2)]
['Rosemont (provincial electoral district)', ('Rosemont (provincial electoral district)', 2)]
['2003 Coca Cola Cup', ('2003 Coca Cola Cup', 1)]
["Futen'ō", ("Futen'ō", 1)]
['press-ganged', ('Impressment', 104)]
['Tian Rui', ('Tian Rui', 1)]
["''Tillandsia'' 'Coconut Ice'", ('Tillandsia Coconut Ice', 2)]
['Bassendean railway station', ('Bassendean railway station', 4)]
['Junkers EF 019', ('Junkers EF 019', 1)]
['A series of polls', ('United States Senate election in New Hampshire, 2016', 1)]
['Edumarketing', ('Edumarketing', 1)]
['Kepler-191b', ('Kepler-191b', 1)]
['Petasites hybridus', ('Petasites hybridus', 18)]
['Hyphydrus maculiceps', ('Hyphydrus maculiceps', 1)]
['Charlie McCoy', ('Charles Ray McCoy', 3)]
['decemvir stlitibus iudicandis', ('Decemviri', 37)]
['Mount Horeb Area School District', ('Mount Horeb Area School District', 1)]
['Bill Cort', ('William Cort', 12)]
['Mecherathite', ('Mecherathite', 3)]
['Telica_(volcano)', ('Telica_(volcano)', 1)]
['Casey Todd', ('Casey Todd', 15)]
['Rhyssinae', ('Rhyssinae', 10)]
['Rassilon', ('Rassilon', 119)]
['Narkemina', ('Narkemina', 2)]
['Phyllostachys aureosulcata', ('Phyllostachys aureosulcata', 10)]
['Yubikiri (Korean)', ('Yubikiri (Korean)', 3)]
['Schruff', ('Julia Schruff', 314)]
['Vladimir Vladislavsky', ('Vladimir Vladislavsky', 2)]
['List of hospitals in Canada', ('List of hospitals in Canada', 31)]
['A.Lebedzew', ('Alyaksandr Lebedzew', 10)]
['Convents burning in Spain (1931)', ('Convents burning in Spain (1931)', 2)]
['Sergio Jarlaz', ('Sergio Jarlaz', 2)]
['OGC standards', ('Open Geospatial Consortium', 149)]
['BōryokudanHisayuki Machii  \t  Hisayuki Machii', ('Bōryokudan', 5)]
['Frank McLain', ('Frank McLain', 1)]
['Holyrood Pond Provincial Park', ('Holyrood Pond Provincial Park', 1)]
['Cinema Writers Circle Awards, Spain', ('Cinema Writers Circle Awards, Spain', 2)]
['Kodiang', ('Kodiang railway station', 3)]
['Antoine de Penne', ('Antoine de Penne', 1)]
['Sphinta', ('Sphinta', 1)]
['Portsmouth, Va.', ('Portsmouth, Va.', 1)]
['Kelly McCrimmon', ('Kelly McCrimmon', 12)]
['New top-level domain names activated', ('Top-level domain', 124)]
['Tony Genato', ('Tony Genato', 1)]
["memorial dedicated to the ''Titanic''{{'}}s engineers", ("Titanic Engineers' Memorial, Southampton", 14)]
['Scouts &amp; Brownies', ('Scouting', 129)]
['Medical Alarm', ('Medical alarm', 12)]
['(Invader Zim', ('Invader Zim', 9)]
['Gongora cassidea', ('Gongora cassidea', 1)]
['Bishop Michael Power of Toronto', ('Michael Power (Canadian bishop)', 4)]
['Daliang, Shunde', ('Daliang, Shunde', 4)]
['Pallastica lucifer', ('Pallastica lucifer', 1)]
['record setting passer', ('Texas Tech Red Raiders football statistical leaders', 4)]
['Therates rugifer', ('Therates rugifer', 1)]
['Lomovoye, Tver Oblast', ('Lomovoye, Tver Oblast', 1)]
['Hal houser', ('Hal houser', 1)]
['Eliéser Ambrósio', ('List of Big Brother Brasil 10 housemates', 33)]
['Drušče', ('Drušče, Sevnica', 1)]
['Merritt Wrecking Company', ('Merritt-Chapman &amp; Scott', 23)]
['Philippe, 2me Comte de Ligne', ('Philippe, 2me Comte de Ligne', 1)]
['Rijad Mašović-Riči', ('Rijad Mašović-Riči', 1)]
['Bernardo O´Connor', ('Bernardo O´Connor', 1)]
['Ashland Township, Clarion County, Pennsylvania', ('Ashland Township, Clarion County, Pennsylvania', 1)]
['Temple Row', ('Temple Row', 1)]
['Seasonal', ('Seasonal (basketball team)', 2)]
['low death plane crash article', ('2006 Long Island Sound Plane Crash', 2)]
['REVOLUTION MOTHER', ('REVOLUTION MOTHER', 1)]
['Arthur Adlington Haworth', ('Arthur Adlington Haworth', 4)]
["''The Dark Hour'' (2007 film)", ('The Dark Hour (2007 film)', 9)]
['Slovakia (president)', ('Slovakia presidential election, 2004', 4)]
['Manchenahalli', ('Manchenahalli', 7)]
['Countess consort of Württemberg', ('List of consorts of Württemberg', 6)]
['Tema (Community 7)', ('Tema', 5)]
['Tools and Algorithms for Construction and Analysis of Systems', ('Tools and Algorithms for Construction and Analysis of Systems', 1)]
['E. W. Emo', ('E. W. Emo', 29)]
['597th Bombardment Squadron', ('597th Bombardment Squadron', 4)]
['Holographis', ('Holographis', 1)]
['Liutward', ('Liutward', 8)]
['Governor of Skåne', ('List of governors of Skåne County', 7)]
['Oberndorf am Neckar', ('Oberndorf am Neckar', 64)]
['Beckmann Rearrangement', ('Beckmann Rearrangement', 1)]
['Sunrise on Mercury', ('Sunrise on Mercury', 1)]
['Mancangangi Island', ('Mancangangi Island', 1)]
['PROLI/NO', ('PROLI/NO', 1)]
['Arbailles', ('Arbailles', 2)]
['SMP&lt;br&gt;R18', ('2016 Red Rooster Sydney SuperSprint', 6)]
["Teatro Sant 'Apollinare", ("Teatro Sant 'Apollinare", 9)]
["King's&amp;nbsp;Lynn", ("King's Lynn F.C.", 19)]
['In the Renaissance', ('History of science in the Renaissance', 19)]
['97.1 FM &quot;The Ticket&quot;', ('WXYT-FM', 131)]
['Lucerna (cattle)', ('Lucerna (cattle)', 1)]
['Farmer at War', ('Farmer at War', 1)]
["''Bonfire''", ('Bonfire (album)', 6)]
['Nelima globulifer', ('Nelima globulifer', 1)]
['Zangasso', ('Zangasso', 3)]
['Lacy Barnes-Mileham', ('Lacy Barnes-Mileham', 13)]
['was also received very well', ('Earthworm Jim 2', 61)]
['tridacna', ('tridacna', 4)]
['1951 European Champs. - Milan', ('1951 European Amateur Boxing Championships', 3)]
['Stal Ostrow Wielkopolski', ('Stal Ostrow Wielkopolski', 1)]
['was marched', ('Death marches (Holocaust)', 27)]
['Gyeonggi Bus', ('Gyeonggi Bus', 1)]
['German submarine U-252', ('German submarine U-252', 7)]
['Active infrared', ('Night vision', 17)]
["piazza d'Azeglio", ("piazza d'Azeglio", 1)]
['Buranit Rattanawichian', ('Buranit Rattanawichian', 1)]
['Battle between Carmania and Cap Trafalgar', ('Battle between Carmania and Cap Trafalgar', 9)]
['Direct Injection', ('Fuel injection', 117)]
['Jingzhe (film)', ('Jingzhe (film)', 13)]
['Esakiopteryx', ('Esakiopteryx', 4)]
['Ectomomyrmex punctatus', ('Ectomomyrmex punctatus', 1)]
['Airshow China 2008', ('China International Aviation &amp; Aerospace Exhibition', 26)]
['Little Billy Merchant', ('William Alfred Merchant', 3)]
['Embraer EMB 110C Bandeirante', ('Embraer EMB 110C Bandeirante', 1)]
['Messervy', ('Frank Messervy', 81)]
['the Medicare Levy Surcharge', ('Medicare Levy Surcharge', 3)]
['Festival Internacional de Cine de Guadalajara', ('Guadalajara International Film Festival', 81)]
['Northern Wrestling Federation', ('Northern Wrestling Federation', 8)]
['HaSulam', ('HaSulam', 1)]
['Lafourche Parish School Board', ('Lafourche Parish Public Schools', 8)]
['New Cathedral of the Assumption of the Virgin', ('New Cathedral, Salamanca', 5)]
['Quick checkmates', ('Checkmates in the opening', 5)]
['compound duple metre', ('compound duple metre', 1)]
['Werner Pötschke', ('Werner Pötschke', 7)]
["Hazrat Fazl Omar Mojadidi Nurul Mashaw'ikh (aka, Mullah / Hazrat Shore Bazaar)", ("Hazrat Fazl Omar Mojadidi Nurul Mashaw'ikh (aka, Mullah / Hazrat Shore Bazaar)", 1)]
['Nantlle Vale F.C.', ('Nantlle Vale F.C.', 5)]
["''aša'' (asha) / ''arta''", ('Asha', 12)]
["Nottingham Forest Football Club's", ('Nottingham Forest F.C.', 224)]
['Taras Fiedorenko', ('Taras Fiedorenko', 2)]
['Eyes Closed EP', ('Eyes Closed EP', 3)]
['Alcee Fortier Senior High School', ('Alcee Fortier Senior High School', 1)]
['Eriks Fjord', ('Eriks Fjord', 1)]
['Wu Ruopu', ('Wu Ruopu', 1)]
['Frankenstein_Meets_the_Wolf_Man', ('Frankenstein_Meets_the_Wolf_Man', 1)]
['Round Table conferences', ('Round Table Conferences (India)', 33)]
['cipotes', ('Cipitio', 9)]
['Metro Star', ('Metro Star', 3)]
['Sainte-Hélène-de-&lt;br&gt;Mancebourg', ('Sainte-Hélène-de-Mancebourg, Quebec', 17)]
['Kali Brandagamba', ('Kali Brandagamba', 1)]
['Kremenki, Dalnekonstantinovsky District, Nizhny Novgorod Oblast', ('Kremenki, Dalnekonstantinovsky District, Nizhny Novgorod Oblast', 1)]
['Clare (UK Parliament constituency)', ('Clare (UK Parliament constituency)', 8)]
['Westmeath Senior Football Championships', ('Westmeath Senior Football Championship', 16)]
['brbs', ('brbs people', 1)]
['muqaddam', ('muqaddam', 7)]
['Martin-Baker M.B.1', ('Martin-Baker MB 1', 6)]
['Oombarrmbarum', ('Oombarrmbarum language', 1)]
['Prescott, J. R. V.', ('John Robert Victor Prescott', 11)]
['Chilton County Airport', ('Chilton County Airport', 6)]
['Beigao', ('Beigao', 5)]
['Emirati cuisine', ('Emirati cuisine', 5)]
['1660–1938', ('Barbadian general elections, 1660–1938', 1)]
['Mustafa&amp;nbsp;Kamalak', ('Mustafa&amp;nbsp;Kamalak', 1)]
['VehicleNNN', ('VehicleNNN', 23)]
['non-white player', ('Race and ethnicity in the NBA', 19)]
['Lov Herren', ('Lov Herren', 1)]
['Kita-Koshigaya Station', ('Kita-Koshigaya Station', 2)]
['Massimiliano Rossi', ('Massimiliano Rossi', 1)]
['John Ferguson Sr.', ('John Ferguson Sr.', 2)]
['Maeroa Intermediate', ('Maeroa Intermediate', 1)]
["Tennessee Volunteers women's basketball", ("Tennessee Volunteers women's basketball", 7)]
['Nakavu', ('Nakavu', 1)]
['vedette cómico', ('Vedette (entertainer)', 10)]
['Eric Wolf', ('Eric Wolf', 61)]
['ClayFighter 63⅓', ('ClayFighter 63⅓', 28)]
['Splore App', ('Splore App', 2)]
['Corvite', ('Corvite', 1)]
['Red Oaks Mill, New York', ('Red Oaks Mill, New York', 22)]
['เทศบาลตำบลท่าช้าง', ('Chakkarat District', 11)]
['Wrath Of The Tyrant', ('Wrath of the Tyrant', 13)]
['Garrha miltopsara', ('Garrha miltopsara', 2)]
["1949 UCI Road World Championships – Men's road race", ("1949 UCI Road World Championships – Men's road race", 3)]
['Virginia Senate, District 1', ('Virginia Senate, District 1', 11)]
['Crotalaria cobalticola', ('Crotalaria cobalticola', 2)]
['Sidley, Austin, Brown &amp; Wood LLP', ('Sidley Austin', 11)]
['Joachim Blume', ('Joachim Blume', 2)]
['satyriasis', ('Hypersexuality', 126)]
['72.0°W', ('72nd meridian west', 12)]
['Pune Railway Division', ('Pune Railway Division', 12)]
['Honda Group', ('Honda Group', 1)]
['ASTRO-2', ('Spacelab', 338)]
['baccalaureate mass', ('baccalaureate mass', 1)]
['Soai Rạp', ('Soai Rạp', 1)]
['Kunsthalle Wien-Karlsplatz', ('Kunsthalle Wien', 63)]
['Isabella IIas', ('Isabella II of Spain', 647)]
['turbocharged Buick 3.8L V6', ('Buick V6 engine', 170)]
['Mumbai_culture', ('Mumbai_culture', 1)]
['List of parkways and named highways in Kentucky', ('List of parkways and named highways in Kentucky', 3)]
['Hon. Mr Justice Roskill', ('Eustace Roskill, Baron Roskill', 11)]
['Poisoning_the_well', ('Poisoning_the_well', 3)]
['French Bull', ('French Bull', 4)]
['Park Mi-ni', ('Park Mi-ni', 2)]
['Eagris sabadius aldabranus', ('Eagris sabadius', 14)]
['installation program', ('installation program', 3)]
['Keddie, California', ('Keddie, California', 32)]
['phoronid', ('phoronid', 2)]
['Leucania adjuta', ('Leucania adjuta', 3)]
['Dyffryn Ironworks', ('Dyffryn Ironworks', 1)]
['Riau rupiah', ('Riau rupiah', 11)]
['Heca', ('Heca', 7)]
["Airport}}&quot;&gt;'''Airport Line'''&lt;/span&gt;", ('Airport Line (SEPTA)|&lt;span style=&quot;color:', 2)]
['Hirohiko Komata', ('Hirohiko Komata', 2)]
['Charles Bane, Jr.', ('Charles Bane, Jr.', 3)]
['Karl 4', ('Karl 4', 1)]
["Jenico d'Artois", ("Jenico d'Artois", 7)]
['Razally Hussain', ('Razally Hussain', 1)]
['Andrew Feld', ('Andrew Feld', 5)]
['13th United States Congresses', ('13th United States Congress', 39)]
['Big Oyster', ('Taree, New South Wales', 84)]
['Alison Brigden', ('Alison Brigden', 1)]
['Mbakogu', ('Jerry Mbakogu', 23)]
['Kleeco (game)', ('Kleeco (game)', 1)]
['Virginia Wildlife', ('Virginia Wildlife', 1)]
['Indonesia 2013', ('2013 Islamic Solidarity Games', 4)]
['National Agricultural Institute of Tunisia', ('National Agricultural Institute of Tunisia', 2)]
['List of cities in the Falkland Islands', ('List of cities in the Falkland Islands', 4)]
['Saeed Tito', ('Saeed Tito', 1)]
['Musa Valley', ('Musa Valley', 1)]
['Klaineanthus', ('Klaineanthus', 2)]
['Wayne &quot;Lotek&quot; Bennett', ('Wayne &quot;Lotek&quot; Bennett', 5)]
['Хенриета Тодорова', ('Хенриета Тодорова', 1)]
['Slowmotion Apocalypse', ('Slowmotion Apocalypse', 8)]
['Padiwarada', ('Padiwarada', 2)]
['Russian competition law', ('Russian competition law', 4)]
["'''Zezhou&lt;br&gt;County'''", ('Zezhou County', 24)]
['Weil Technology Institute', ('Weil Technology Institute', 1)]
['Fujimi Tamura', ('Fujimi Tamura', 2)]
['Show!_Music_Core', ('Show!_Music_Core', 1)]
['Cossypha isabellae', ('Cossypha isabellae', 3)]
['Spencer Smith (musician)', ('Spencer Smith (musician)', 5)]
['Copper coinage', ('Japanese currency', 9)]
['Grigori Mikhalyuk', ('Grigori Mikhalyuk', 3)]
